"Имя испытания","Режим испытания","Тип испытания","Заголовок1","Комментарий1","Ключвое слово","Наименование продукта","Имя файла испытания","Имя файла метода","Дата отчета","Дата испытания","Режим испытания","Тип испытания","Скорость","Форма","Серия:","Части серии:"
"Стеклопластик_2013-11-19_ц5-2.xtas","Контрольный","Растяжение","Заголовок","Комментарий"," "," ","Стеклопластик_2013-11-19_ц5-2.xtas","Стеклопластик_ц5.xmas","19.11.2013","19.11.2013","Контрольный","Растяжение","1мм/мин","Плоская","1","1"

"Форма:","Серия:","Часть серии:"
"Плоская","1","1"
"Имя","Толщина","Ширина","Длина базы измерения"
"Размерность:","мм","мм","мм"
"1 _ 1","1,3000","40,1000","110,0000"

"Имя"
"Параметр"
"Единица"
"1 _ 1"

"1 _ 1",
"Время","Сила","Ход"
"сек","Н","мм"
"5,3","16,34041","0,08826667"
"5,31","16,34916","0,08843333"
"5,32","16,36028","0,08863334"
"5,33","16,36187","0,0888"
"5,34","16,35869","0,08896667"
"5,35","16,36664","0,08913334"
"5,36","16,38095","0,08926667"
"5,37","16,38969","0,08943333"
"5,38","16,38651","0,0896"
"5,39","16,38095","0,0898"
"5,4","16,38095","0,08993334"
"5,41","16,38651","0,09013333"
"5,42","16,39207","0,0903"
"5,43","16,40081","0,09046667"
"5,44","16,41035","0,0906"
"5,45","16,41671","0,09076667"
"5,46","16,4183","0,09093334"
"5,47","16,41671","0,0911"
"5,48","16,42068","0,09126667"
"5,49","16,43817","0,09143333"
"5,5","16,46201","0,0916"
"5,51","16,48108","0,09173334"
"5,52","16,48347","0,0919"
"5,53","16,47472","0,09206667"
"5,54","16,46598","0,09226667"
"5,55","16,46757","0,09243333"
"5,56","16,47631","0,0926"
"5,57","16,48347","0,09276666"
"5,58","16,48426","0,09296667"
"5,59","16,48426","0,09313334"
"5,6","16,48823","0,09326667"
"5,61","16,49777","0,09343334"
"5,62","16,51128","0,0936"
"5,63","16,52876","0,09376667"
"5,64","16,54625","0,09393334"
"5,65","16,56453","0,0941"
"5,66","16,58042","0,09426667"
"5,67","16,59314","0,09443334"
"5,68","16,60267","0,0946"
"5,69","16,62095","0,09476667"
"5,7","16,64797","0,09493333"
"5,71","16,66943","0,0951"
"5,72","16,67976","0,09526667"
"5,73","16,68612","0,0954"
"5,74","16,69089","0,0956"
"5,75","16,69725","0,09576667"
"5,76","16,70996","0,09593333"
"5,77","16,72665","0,09613334"
"5,78","16,74414","0,09626666"
"5,79","16,76162","0,09643333"
"5,8","16,78069","0,0966"
"5,81","16,7942","0,09676667"
"5,82","16,80056","0,09693334"
"5,83","16,81328","0,0971"
"5,84","16,83394","0,09726667"
"5,85","16,85858","0,09743334"
"5,86","16,87845","0,0976"
"5,87","16,89514","0,09776667"
"5,88","16,91262","0,09793334"
"5,89","16,92851","0,0981"
"5,9","16,94441","0,09826667"
"5,91","16,95951","0,09843334"
"5,92","16,97063","0,0986"
"5,93","16,97381","0,09876667"
"5,94","16,97143","0,09893333"
"5,95","16,96905","0,0991"
"5,96","16,9754","0,09926667"
"5,97","16,9913","0,09943333"
"5,98","17,00958","0,0996"
"5,99","17,0207","0,09973334"
"6","17,02547","0,09993333"
"6,01","17,02865","0,1001"
"6,02","17,03103","0,1003"
"6,03","17,0358","0,1004667"
"6,04","17,04057","0,1006333"
"6,05","17,04693","0,1008"
"6,06","17,05567","0,1009333"
"6,07","17,06997","0,1011"
"6,08","17,08746","0,1012667"
"6,09","17,097","0,1014333"
"6,1","17,09938","0,1016"
"6,11","17,10494","0,1017667"
"6,12","17,11925","0,1019333"
"6,13","17,13753","0,1021"
"6,14","17,15024","0,1022667"
"6,15","17,15342","0,1024667"
"6,16","17,1566","0,1026333"
"6,17","17,16137","0,1027667"
"6,18","17,16375","0,1029333"
"6,19","17,16693","0,1031"
"6,2","17,17726","0,1032333"
"6,21","17,19316","0,1034"
"6,22","17,21064","0,1036"
"6,23","17,22654","0,1037667"
"6,24","17,24005","0,1039333"
"6,25","17,25197","0,1041"
"6,26","17,26468","0,1043"
"6,27","17,27899","0,1044667"
"6,28","17,2917","0,1046"
"6,29","17,30522","0,1047667"
"6,3","17,31714","0,1049333"
"6,31","17,32826","0,1051"
"6,32","17,34416","0,1052667"
"6,33","17,36561","0,1054333"
"6,34","17,37992","0,1056"
"6,35","17,39105","0,1057667"
"6,36","17,40376","0,1059333"
"6,37","17,42204","0,1061"
"6,38","17,44032","0,1062667"
"6,39","17,4578","0,1064667"
"6,4","17,47449","0,1066333"
"6,41","17,49595","0,1068"
"6,42","17,5182","0,1069333"
"6,43","17,54284","0,1071"
"6,44","17,55953","0,1072667"
"6,45","17,56827","0,1074333"
"6,46","17,57701","0,1076"
"6,47","17,59211","0,1077667"
"6,48","17,61357","0,1079333"
"6,49","17,64059","0,1081"
"6,5","17,66682","0,1082667"
"6,51","17,68907","0,1084333"
"6,52","17,70894","0,1086"
"6,53","17,73199","0,1087667"
"6,54","17,7606","0,1089333"
"6,55","17,78761","0,1091"
"6,56","17,81066","0,1092667"
"6,57","17,83689","0,1094333"
"6,58","17,86629","0,1096"
"6,59","17,90285","0,1097667"
"6,6","17,9402","0,1099333"
"6,61","17,96961","0,1101"
"6,62","17,98789","0,1102667"
"6,63","18,00537","0,1104"
"6,64","18,02842","0,1105667"
"6,65","18,05941","0,1107333"
"6,66","18,09279","0,1109"
"6,67","18,1222","0,1110667"
"6,68","18,1516","0,1112333"
"6,69","18,18577","0,1114"
"6,7","18,22631","0,1115667"
"6,71","18,26127","0,1117333"
"6,72","18,28591","0,1119"
"6,73","18,30498","0,1120667"
"6,74","18,32008","0,1122333"
"6,75","18,33598","0,1124"
"6,76","18,3622","0,1126"
"6,77","18,39717","0,1128"
"6,78","18,43214","0,1129333"
"6,79","18,45996","0,1131333"
